web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-92","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","92","Soy Thalas","1,690,000","705,920,749","217","Gaming","2022"
"1699959846-93","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","93","El Biologo","1,610,000","701,939,842","979","","2018"
"1699959846-94","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","94","El Gran Martín Elías","862,000","676,570,593","132","Music","2015"
"1699959846-95","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","95","Ventino Oficial","1,790,000","674,328,447","92","Music","2014"
"1699959846-96","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","96","Calle y Poché","7,450,000","665,003,311","269","People & Blogs","2015"
"1699959846-97","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","97","Imaginación Absurda","1,890,000","663,910,386","322","Entertainment","2017"
"1699959846-98","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","98","ColombianCrackFamily","902,000","654,086,916","297","Music","2009"
"1699959846-99","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","99","TvAgro","2,220,000","633,284,796","8,955","Education","2009"
"1699959846-100","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","100","Roggy TM 73","2,510,000","624,414,459","764","Entertainment","2015"
"1699959846-101","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","101","Medellin Records","1,630,000","619,930,860","202","Music","2012"
"1699959846-102","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","102","Tele VID","1,880,000","602,265,457","19,603","Entertainment","2010"
"1699959846-103","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","103","Afaz Natural","1,310,000","599,735,364","184","Music","2008"
"1699959846-104","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","104","DARCZTOPS","5,690,000","598,894,114","1,024","People & Blogs","2016"
"1699959846-105","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","105","El Andariego - Juan Carlos Hurtado","780,000","593,602,527","274","Music","2015"
"1699959846-106","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","106","Desafío The Box","1,460,000","585,988,612","2,705","Entertainment","2016"
